book_id,city_id
"46","21359"
"47","21921"
"47","21921"
"47","21921"
"47","21921"
"47","21921"
"48","7952"
"48","2576"
"48","2576"
"48","2576"
"48","2576"
"48","2576"
"48","2576"
"48","7952"
"48","7952"
"48","7952"
"48","7952"
"48","7952"
"48","2576"
"48","2576"
"48","2576"
"48","2576"
"49","2492"
"49","2492"
"49","2492"
"49","19985"
"49","19985"
"49","19985"
"49","19985"
"50","474"
"51","11893"
"51","11893"
"51","18445"
"51","11893"
"51","11893"
"51","11893"
"51","11893"
"51","11893"
"52","20321"
"52","20321"
"52","20321"
"52","20321"
"52","20321"
"52","20321"
"52","20321"
"52","20321"
"52","20321"
"52","20792"
"52","20792"
"52","20321"
"52","20321"
"52","20321"
"52","20321"
"52","20321"
"52","20321"
"52","20321"
"52","20321"
"52","20321"
"53","20078"
"54","15664"
"54","239"
"54","21921"
"54","22455"
"54","239"
"54","4045"
"54","22455"
"54","239"
"54","21921"
"54","21921"
"54","22455"
"54","239"
"54","21921"
"54","21921"
"54","14249"
"54","21921"
"54","20055"
"54","15664"
"54","239"
"54","21921"
"54","20908"
"54","22108"
"54","22455"
"54","4045"
"54","22705"
"54","21921"
"54","21921"
"54","21921"
"54","21921"
"54","21921"
"54","239"
"54","239"
"54","239"
"54","239"
"54","239"
"54","2493"
"54","22728"
"54","22419"
"54","21921"
"54","22516"
"54","239"
"55","2516"
"56","21921"
"57","20430"
"58","2899"
"58","19983"
"59","20321"
"59","20321"
"59","2576"
"59","2576"
"60","22455"
"60","239"
"60","22720"
"60","22746"
"60","22720"
"60","22720"
"60","22679"
"60","22720"
"60","22455"
"60","22455"
"60","15645"
"60","22565"
"60","4045"
"60","4045"
"60","4045"
"60","4045"
"60","22565"
"60","4045"
"60","22455"
"60","22455"
"61","22724"
"61","22594"
"61","21538"
"62","22942"
"62","20681"
"62","19989"
"62","20357"
"62","1601"
"62","1601"
"62","22746"
"62","22746"
"62","1601"
"62","239"
"62","239"
"62","1601"
"62","22746"
"63","21651"
"63","144"
"63","1169"
"63","1169"
"63","1169"
"63","2515"
"63","1571"
"64","21825"
"64","21825"
"64","21049"
"65","20000"
"65","20000"
"66","21643"
"66","22177"
"66","21537"
"66","21205"
"66","20430"
"66","1601"
"66","22516"
"66","15516"
"66","21921"
"66","20373"
"66","20430"
"66","20430"
"67","21969"
"67","14249"
"67","20078"
"67","21740"
"67","2516"
"67","15135"
"67","2516"
"67","1405"
"67","21969"
"67","22565"
"67","22565"
"67","21071"
"68","7547"
"68","420"
"68","420"
"68","420"
"68","420"
"68","420"
"68","22760"
"69","21149"
"69","2523"
"70","22720"
"70","22720"
"70","22720"
"70","22720"
"70","22720"
"70","22720"
"70","1601"
"70","22720"
"70","22720"
"70","22516"
"70","22720"
"70","20430"
"70","1405"
"70","22720"
"70","22720"
"70","22720"
"70","22720"
"70","22720"
"70","22720"
"70","22720"
"71","21426"
"71","1571"
"71","7341"
"71","7341"
"72","2503"
"72","20357"
"73","20430"
"73","23459"
"73","20430"
"73","20430"
"73","20430"
"74","22720"
"74","239"
"75","21651"
"75","2514"
"76","239"
"77","21650"
"77","20792"
"77","20792"
"77","420"
"77","21651"
"77","420"
"77","20792"
"77","20792"
"77","21651"
"77","21651"
"77","420"
"77","420"
"77","420"
"77","420"
"77","420"
"77","8334"
"78","20097"
"78","20577"
"78","239"
"78","21190"
"78","239"
"78","239"
"78","239"
"78","239"
"78","239"
"78","228"
"78","239"
"78","239"
"78","239"
"78","239"
"78","239"
